"FIPS","STATEFP","COUNTYFP","CD115FP"
"621031","6","31","21"
"621107","6","107","21"
"622019","6","19","22"
"622107","6","107","22"
"623029","6","29","23"
"623037","6","37","23"
"623107","6","107","23"
"624079","6","79","24"
"624083","6","83","24"
"624111","6","111","24"
"625037","6","37","25"
"625111","6","111","25"
"626037","6","37","26"
"626111","6","111","26"
"627037","6","37","27"
"627071","6","71","27"
"628037","6","37","28"
"629037","6","37","29"
"630037","6","37","30"
"630111","6","111","30"
"631071","6","71","31"
"632037","6","37","32"
"633037","6","37","33"
"634037","6","37","34"
"635037","6","37","35"
"635071","6","71","35"
"636065","6","65","36"
"637037","6","37","37"
"638037","6","37","38"
"638059","6","59","38"
"639037","6","37","39"
"639059","6","59","39"
"639071","6","71","39"
"640037","6","37","40"
"641065","6","65","41"
"642065","6","65","42"
"643037","6","37","43"
"644037","6","37","44"
"645059","6","59","45"
"646059","6","59","46"
"647037","6","37","47"
"647059","6","59","47"
"648059","6","59","48"
"649059","6","59","49"
"649073","6","73","49"
"650065","6","65","50"
"650073","6","73","50"
"651025","6","25","51"
"651073","6","73","51"
"652073","6","73","52"
"653073","6","73","53"
"801005","8","5","1"
"801031","8","31","1"
"801059","8","59","1"
"802013","8","13","2"
"802014","8","14","2"
"802019","8","19","2"
"802037","8","37","2"
"802047","8","47","2"
"802049","8","49","2"
"802059","8","59","2"
"802069","8","69","2"
"802093","8","93","2"
"802117","8","117","2"
"802123","8","123","2"
"803003","8","3","3"
"803007","8","7","3"
"803021","8","21","3"
"803023","8","23","3"
"803027","8","27","3"
"803029","8","29","3"
"803033","8","33","3"
"803037","8","37","3"
"803045","8","45","3"
"803051","8","51","3"
"803053","8","53","3"
"803055","8","55","3"
"803057","8","57","3"
"803065","8","65","3"
"803067","8","67","3"
"803077","8","77","3"
"803079","8","79","3"
"803081","8","81","3"
"803083","8","83","3"
"803085","8","85","3"
"803091","8","91","3"
"803097","8","97","3"
"803101","8","101","3"
"803103","8","103","3"
"803105","8","105","3"
"803107","8","107","3"
"803109","8","109","3"
"803111","8","111","3"
"803113","8","113","3"
"804001","8","1","4"
"804005","8","5","4"
"804009","8","9","4"
"804011","8","11","4"
"804013","8","13","4"
"804017","8","17","4"
"804025","8","25","4"
"804035","8","35","4"
"804039","8","39","4"
"804061","8","61","4"
"804063","8","63","4"
"804071","8","71","4"
"804073","8","73","4"
"804075","8","75","4"
"804087","8","87","4"
"804089","8","89","4"
"804095","8","95","4"
"804099","8","99","4"
"804115","8","115","4"
"804121","8","121","4"
"804123","8","123","4"
"804125","8","125","4"
"805015","8","15","5"
"805041","8","41","5"
"805043","8","43","5"
"805093","8","93","5"
"805119","8","119","5"
"806001","8","1","6"
"806005","8","5","6"
"806035","8","35","6"
"807001","8","1","7"
"807059","8","59","7"
"901003","9","3","1"
"901005","9","5","1"
"901007","9","7","1"
"902003","9","3","2"
"902007","9","7","2"
"902009","9","9","2"
"902011","9","11","2"
"902013","9","13","2"
"902015","9","15","2"
"903001","9","1","3"
"903007","9","7","3"
"903009","9","9","3"
"904001","9","1","4"
"904009","9","9","4"
"905001","9","1","5"
"905003","9","3","5"
"905005","9","5","5"
"905009","9","9","5"
"1000001","10","1","0"
"1000003","10","3","0"
"1000005","10","5","0"
"1198001","11","1","98"
"1201033","12","33","1"
"1201059","12","59","1"
"1201091","12","91","1"
"1201113","12","113","1"
"1201131","12","131","1"
"1202005","12","5","2"
"1202013","12","13","2"
"1202023","12","23","2"
"1202029","12","29","2"
"1202037","12","37","2"
"1202041","12","41","2"
"1202045","12","45","2"
"1202059","12","59","2"
"1202063","12","63","2"
"1202065","12","65","2"
"1202067","12","67","2"
"1202073","12","73","2"
"1202075","12","75","2"
"1202077","12","77","2"
"1202083","12","83","2"
"1202121","12","121","2"
"1202123","12","123","2"
"1202129","12","129","2"
"1202133","12","133","2"
"1203001","12","1","3"
"1203007","12","7","3"
"1203019","12","19","3"
"1203083","12","83","3"
"1203107","12","107","3"
"1203125","12","125","3"
"1204031","12","31","4"
"1204089","12","89","4"
"1204109","12","109","4"
"1205003","12","3","5"
"1205023","12","23","5"
"1205031","12","31","5"
"1205039","12","39","5"
"1205047","12","47","5"
"1205065","12","65","5"
"1205073","12","73","5"
"1205079","12","79","5"
"1206035","12","35","6"
"1206069","12","69","6"
"1206109","12","109","6"
"1206127","12","127","6"
"1207095","12","95","7"
"1207117","12","117","7"
"1208009","12","9","8"
"1208061","12","61","8"
"1208095","12","95","8"
"1209095","12","95","9"
"1209097","12","97","9"
"1209105","12","105","9"
"1210095","12","95","10"
"1211017","12","17","11"
"1211053","12","53","11"
"1211069","12","69","11"
"1211083","12","83","11"
"1211119","12","119","11"
"1212057","12","57","12"
"1212101","12","101","12"
"1212103","12","103","12"
"1213103","12","103","13"
"1214057","12","57","14"
"1215057","12","57","15"
"1215069","12","69","15"
"1215105","12","105","15"
"1216057","12","57","16"
"1216081","12","81","16"
"1216115","12","115","16"
"1217015","12","15","17"
"1217027","12","27","17"
"1217043","12","43","17"
"1217049","12","49","17"
"1217055","12","55","17"
"1217071","12","71","17"
"1217093","12","93","17"
"1217105","12","105","17"
"1217115","12","115","17"
"1218085","12","85","18"
"1218099","12","99","18"
"1218111","12","111","18"
"1219021","12","21","19"
"1219071","12","71","19"
"1220011","12","11","20"
"1220099","12","99","20"
"1221099","12","99","21"
"1222011","12","11","22"
"1222099","12","99","22"
"1223011","12","11","23"
"1223086","12","86","23"
"1224011","12","11","24"
"1224086","12","86","24"
"1225021","12","21","25"
"1225051","12","51","25"
"1225086","12","86","25"
"1226086","12","86","26"
"1226087","12","87","26"
"1227086","12","86","27"
"1301005","13","5","1"
"1301025","13","25","1"
"1301029","13","29","1"
"1301039","13","39","1"
"1301049","13","49","1"
"1301051","13","51","1"
"1301065","13","65","1"
"1301101","13","101","1"
"1301103","13","103","1"
"1301127","13","127","1"
"1301179","13","179","1"
"1301183","13","183","1"
"1301185","13","185","1"
"1301191","13","191","1"
"1301229","13","229","1"
"1301299","13","299","1"
"1301305","13","305","1"
"1302007","13","7","2"
"1302021","13","21","2"
"1302037","13","37","2"
"1302053","13","53","2"
"1302061","13","61","2"
"1302079","13","79","2"
"1302081","13","81","2"
"1302087","13","87","2"
"1302093","13","93","2"
"1302095","13","95","2"
"1302099","13","99","2"
"1302131","13","131","2"
"1302177","13","177","2"
"1302193","13","193","2"
"1302197","13","197","2"
"1302201","13","201","2"
"1302205","13","205","2"
"1302215","13","215","2"
"1302225","13","225","2"
"1302239","13","239","2"
"1302243","13","243","2"
"1302249","13","249","2"
"1302253","13","253","2"
"1302259","13","259","2"
"1302261","13","261","2"
"1302263","13","263","2"
"1302269","13","269","2"
"1302273","13","273","2"
"1302307","13","307","2"
"1303045","13","45","3"
"1303077","13","77","3"
"1303113","13","113","3"
"1303145","13","145","3"
"1303149","13","149","3"
"1303151","13","151","3"
"1303171","13","171","3"
"1303199","13","199","3"
"1303215","13","215","3"
"1303231","13","231","3"
"1303255","13","255","3"
"1303285","13","285","3"
"1303293","13","293","3"
"1304089","13","89","4"
"1304135","13","135","4"
"1304217","13","217","4"
"1304247","13","247","4"
"1305063","13","63","5"
"1305089","13","89","5"
"1305121","13","121","5"
"1306067","13","67","6"
"1306089","13","89","6"
"1306121","13","121","6"
"1307117","13","117","7"
"1307135","13","135","7"
"1308003","13","3","8"
"1308017","13","17","8"
"1308019","13","19","8"
"1308021","13","21","8"
"1308023","13","23","8"
"1308027","13","27","8"
"1308071","13","71","8"
"1308075","13","75","8"
"1308091","13","91","8"
"1308153","13","153","8"
"1308155","13","155","8"
"1308169","13","169","8"
"1308173","13","173","8"
"1308185","13","185","8"
"1308207","13","207","8"
"1308235","13","235","8"
"1308271","13","271","8"
"1308275","13","275","8"
"1308277","13","277","8"
"1308287","13","287","8"
"1308289","13","289","8"
"1308315","13","315","8"
"1308319","13","319","8"
"1308321","13","321","8"
"1309011","13","11","9"
"1309059","13","59","9"
"1309085","13","85","9"
"1309105","13","105","9"
"1309111","13","111","9"
"1309117","13","117","9"
"1309119","13","119","9"
"1309123","13","123","9"
"1309137","13","137","9"
"1309139","13","139","9"
"1309147","13","147","9"
"1309157","13","157","9"
"1309187","13","187","9"
"1309195","13","195","9"
"1309227","13","227","9"
"1309241","13","241","9"
"1309257","13","257","9"
"1309281","13","281","9"
"1309291","13","291","9"
"1309311","13","311","9"
"1310009","13","9","10"
"1310013","13","13","10"
"1310035","13","35","10"
"1310059","13","59","10"
"1310073","13","73","10"
"1310125","13","125","10"
"1310133","13","133","10"
"1310135","13","135","10"
"1310141","13","141","10"
"1310151","13","151","10"
"1310159","13","159","10"
"1310163","13","163","10"
"1310167","13","167","10"
"1310181","13","181","10"
"1310189","13","189","10"
"1310211","13","211","10"
"1310217","13","217","10"
"1310219","13","219","10"
"1310221","13","221","10"
"1310237","13","237","10"
"1310265","13","265","10"
"1310297","13","297","10"
"1310301","13","301","10"
"1310303","13","303","10"
"1310317","13","317","10"
"1311015","13","15","11"
"1311057","13","57","11"
"1311067","13","67","11"
"1311121","13","121","11"
"1312001","13","1","12"
"1312031","13","31","12"
"1312033","13","33","12"
"1312043","13","43","12"
"1312069","13","69","12"
"1312073","13","73","12"
"1312103","13","103","12"
"1312107","13","107","12"
"1312109","13","109","12"
"1312161","13","161","12"
"1312165","13","165","12"
"1312175","13","175","12"
"1312209","13","209","12"
"1312245","13","245","12"
"1312251","13","251","12"
"1312267","13","267","12"
"1312279","13","279","12"
"1312283","13","283","12"
"1312309","13","309","12"
"1313063","13","63","13"
"1313067","13","67","13"
"1313097","13","97","13"
"1313113","13","113","13"
"1313121","13","121","13"
"1313151","13","151","13"
"1314047","13","47","14"
"1314055","13","55","14"
"1314083","13","83","14"
"1314115","13","115","14"
"1314129","13","129","14"
"1314143","13","143","14"
"1314213","13","213","14"
"1314223","13","223","14"
"1314227","13","227","14"
"1314233","13","233","14"
"1314295","13","295","14"
"1314313","13","313","14"
"1501003","15","3","1"
"1502001","15","1","2"
"1502003","15","3","2"
"1502005","15","5","2"
"1502007","15","7","2"
"1502009","15","9","2"
"1601001","16","1","1"
"1601003","16","3","1"
"1601009","16","9","1"
"1601015","16","15","1"
"1601017","16","17","1"
"1601021","16","21","1"
"1601027","16","27","1"
"1601035","16","35","1"
"1601045","16","45","1"
"1601049","16","49","1"
"1601055","16","55","1"
"1601057","16","57","1"
"1601061","16","61","1"
"1601069","16","69","1"
"1601073","16","73","1"
"1601075","16","75","1"
"1601079","16","79","1"
"1601085","16","85","1"
"1601087","16","87","1"
"1602001","16","1","2"
"1602005","16","5","2"
"1602007","16","7","2"
"1602011","16","11","2"
"1602013","16","13","2"
"1602019","16","19","2"
"1602023","16","23","2"
"1602025","16","25","2"
"1602029","16","29","2"
"1602031","16","31","2"
"1602033","16","33","2"
"1602037","16","37","2"
"1602039","16","39","2"
"1602041","16","41","2"
"1602043","16","43","2"
"1602047","16","47","2"
"1602051","16","51","2"
"1602053","16","53","2"
"1602059","16","59","2"
"1602063","16","63","2"
"1602065","16","65","2"
