FIPS_State,State,Total_Pop_2016,CVAP_2016,Total_Ballots_Cast_Est,RU_Target_VRS,Paperless_DREs_Tier 1,HAVA$_May_Not_Be_Planning_to_Use_Tier 2,"HAVA$_Using_But_Needs_More_Tier 3
",HAVA$_Final_Pay,HAVA$_5%_Match,HAVA$_TotalAward,HAVA$_TotalAward_$600K$3.0M,HAVA$_TotalAward_$3.1M-$5.1M,HAVA$_Total Award_$5.2M-$7.8M,HAVA$_Total Award_$7.9M-$34.6M,HAVA_Cybersecurity-Budget (Consolidated Budget for 5 yrs),HAVA-Cybersecurity-Budget-%-of-HAVA-Total Award,Number_Counties,HAVA-Cybersecurity-$ Per-County,Senate-Toss-up,House-Toss-up,CAP-grade,Voting-Access-Scorecard,InternetVoting ,IV-Uonly-fax,IV-U-only-web-email ,IV-Uonly-limited-web-email ,IV-U-plus-web-email,IV-email-ballot-limited,EPI_2016,EPI_rank_2016,EPI_indicator_count_2016,Post-election-federal-audits-mandatory,Post-election-audits-rating
26,Michigan,"7,624,000","7,332,000","4,874,619",no,no,no,no,"10,706,992","535,350","11,242,341",,,,,"5,540,395",49,83,,no,yes,C,43,yes,no,yes,no,no,no,0.7636022,24,17,no,4
27,Minnesota,"4,190,000","3,985,000","2,968,281",yes,no,no,no,"6,595,610","329,781","6,925,391",,,,,"1,532,342",22,87,,no,yes,B,4,no,no,no,no,no,no,0.84365433,3,15,yes,2
28,Mississippi,"2,203,000","2,170,000",,no,no,no,no,"4,483,541","224,177","4,707,718",,,,,"475,150",10,82,,no,no,D,51,no,no,no,no,no,no,0.66838461,43,16,no,4
29,Missouri,"4,626,000","4,486,000","2,811,549",no,no,no,no,"7,230,625","361,531","7,592,156",,,,,,,115,,yes,no,D,49,no,no,no,yes,no,no,0.79018861,16,16,yes,3
30,Montana,"798,000","790,000","516,901",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,,,57,,yes,no,C,11,yes,no,yes,no,no,no,0.75390512,25,17,yes,4
31,Nebraska,"1,407,000","1,336,000","860,573",no,no,no,no,"3,496,936","174,847","3,671,783",,,,,"725,936",21,93,,no,no,C,39,yes,no,yes,no,no,no,0.8028146,11,17,no,4
32,Nevada,"2,234,000","1,975,000","1,125,429",no,no,no,no,"4,277,723","213,886","4,491,609",,,,,"220,440",5,17,,yes,no,C,23,yes,no,yes,no,no,no,0.81613749,6,17,yes,2
33,New Hampshire,"1,044,000","1,012,000","755,850",no,no,yes,no,"3,102,253","155,113","3,257,366",,,,,,,10,,no,no,C,48,no,no,no,no,no,no,0.72153139,33,15,no,4
34,New Jersey,"6,862,000","5,958,000","3,957,303",no,yes,no,no,"9,757,450","487,873","10,245,323",,,,,"3,000,000",,21,,no,yes,D,32,yes,no,yes,no,no,no,0.69176686,39,17,yes,4
35,New Mexico,"1,547,000","1,396,000","804,043",no,no,no,no,"3,699,470","184,973","3,884,443",,,,,"2,049,470",,33,,no,yes,B,14,yes,no,yes,no,no,no,0.73555678,29,14,yes,2
